,_id,name,original_value,set_time,set_value,uuid
0,55fe51d468ee5710f41d65cd,UCSD-Main-EBU3B-Flr-4-Rm-4132-Occupied Command,3.0,2015-09-19 23:25:18,3,801cab8a-77e0-11e2-83c4-00163e005319
1,55fb52ee68ee570ed8db62f4,UCSD-Main-EBU3B-Flr-4-Rm-4132-Common Setpoint,73.0,2015-09-17 16:51:17,72,e7697d5a-77df-11e2-83c4-00163e005319
2,55fc6bf768ee5719cc06d23e,UCSD-Main-EBU3B-Flr-4-Rm-4132-Occupied Command,3.0,2015-09-18 12:52:20,1,801cab8a-77e0-11e2-83c4-00163e005319
3,55fe462a68ee571efc7a7477,UCSD-Main-EBU3B-Flr-4-Rm-4132-Occupied Command,3.0,2015-09-19 22:35:02,3,801cab8a-77e0-11e2-83c4-00163e005319
4,55fe540068ee5710f41d65cf,UCSD-Main-EBU3B-Flr-4-Rm-4132-Cooling Command,0.0,2015-09-19 23:35:04,30,e8b4ab26-77df-11e2-83c4-00163e005319
5,55fe5d0668ee5712a441f665,UCSD-Main-EBU3B-Flr-4-Rm-4132-Common Setpoint,72.0,2015-09-20 00:11:04,74,e7697d5a-77df-11e2-83c4-00163e005319
6,55ff345b68ee572108abaf01,UCSD-Main-EBU3B-Flr-4-Rm-4132-Occupied Command,1.0,2015-09-20 15:30:01,3,801cab8a-77e0-11e2-83c4-00163e005319
7,55ff378468ee571e88bbd1dc,UCSD-Main-EBU3B-Flr-4-Rm-4132-Occupied Clg Min,80.0,2015-09-20 15:46:01,0,e84fe38a-77df-11e2-83c4-00163e005319
8,55ff3aec68ee571e88bbd1de,UCSD-Main-EBU3B-Flr-4-Rm-4132-Actual Sup Flow SP,255.77,2015-09-20 16:00:02,0,e7dd2b1a-77df-11e2-83c4-00163e005319
9,55ff3e5368ee571e88bbd1e0,UCSD-Main-EBU3B-Flr-4-Rm-4132-Cooling Command,100.0,2015-09-20 16:15:03,45,e8b4ab26-77df-11e2-83c4-00163e005319
10,55ff453b68ee571e88bbd1e2,UCSD-Main-EBU3B-Flr-4-Rm-4132-Actual Sup Flow SP,0.0,2015-09-20 16:45:01,100,e7dd2b1a-77df-11e2-83c4-00163e005319
11,55ff4c8168ee571e88bbd1e4,UCSD-Main-EBU3B-Flr-4-Rm-4132-Cooling Command,45.0,2015-09-20 17:15:03,0,e8b4ab26-77df-11e2-83c4-00163e005319
12,55ff57a368ee57220854bb29,UCSD-Main-EBU3B-Flr-4-Rm-4132-Actual Sup Flow SP,100.0,2015-09-20 18:00:02,100,e7dd2b1a-77df-11e2-83c4-00163e005319
13,55ff5d9a68ee57220854bb2b,UCSD-Main-EBU3B-Flr-4-Rm-4132-Actual Sup Flow SP,100.0,2015-09-20 18:30:00,-1,e7dd2b1a-77df-11e2-83c4-00163e005319
14,55ff612068ee57220854bb2d,UCSD-Main-EBU3B-Flr-4-Rm-4132-Occupied Command,3.0,2015-09-20 18:45:02,-1,801cab8a-77e0-11e2-83c4-00163e005319
15,55ff682b68ee571730006d1e,UCSD-Main-EBU3B-Flr-4-Rm-4132-Occupied Clg Min,0.0,2015-09-20 19:15:05,-1,e84fe38a-77df-11e2-83c4-00163e005319
16,55ff6bab68ee571730006d20,UCSD-Main-EBU3B-Flr-4-Rm-4132-Actual Sup Flow SP,0.0,2015-09-20 19:30:01,-1,e7dd2b1a-77df-11e2-83c4-00163e005319
17,55ff6f3068ee571730006d22,UCSD-Main-EBU3B-Flr-4-Rm-4132-Occupied Command,1.0,2015-09-20 19:45:03,-1,801cab8a-77e0-11e2-83c4-00163e005319
18,55ff72b868ee571f70b73cdb,UCSD-Main-EBU3B-Flr-4-Rm-4132-Cooling Command,0.0,2015-09-20 20:00:06,-1,e8b4ab26-77df-11e2-83c4-00163e005319
19,560047a568ee570448c36e6f,UCSD-Main-EBU3B-Flr-4-Rm-4132-Cooling Command,0.0,2015-09-21 11:05:03,45,e8b4ab26-77df-11e2-83c4-00163e005319
20,5600546968ee570448c36e71,UCSD-Main-EBU3B-Flr-4-Rm-4132-Cooling Command,45.0,2015-09-21 12:00:02,0,e8b4ab26-77df-11e2-83c4-00163e005319
21,56009dc668ee570558a68550,UCSD-Main-EBU3B-Flr-4-Rm-4132-Occupied Command,3.0,2015-09-21 17:15:02,3,801cab8a-77e0-11e2-83c4-00163e005319
22,5600a21d68ee570558a68552,UCSD-Main-EBU3B-Flr-4-Rm-4132-Cooling Command,0.0,2015-09-21 17:30:04,70,e8b4ab26-77df-11e2-83c4-00163e005319
23,5600af7868ee570558a68554,UCSD-Main-EBU3B-Flr-4-Rm-4132-Cooling Command,70.0,2015-09-21 18:30:03,0,e8b4ab26-77df-11e2-83c4-00163e005319
24,5600bde368ee571cb03edc04,UCSD-Main-EBU3B-Flr-4-Rm-4132-Occupied Command,1.0,2015-09-21 19:30:04,3,801cab8a-77e0-11e2-83c4-00163e005319
25,5600c12868ee571cb03edc06,UCSD-Main-EBU3B-Flr-4-Rm-4132-Cooling Command,0.0,2015-09-21 19:45:00,70,e8b4ab26-77df-11e2-83c4-00163e005319
26,5600cd9b68ee571cb03edc08,UCSD-Main-EBU3B-Flr-4-Rm-4132-Cooling Command,70.0,2015-09-21 20:30:04,0,e8b4ab26-77df-11e2-83c4-00163e005319
27,5600d9e468ee571e4c6c48ec,UCSD-Main-EBU3B-Flr-4-Rm-4132-Cooling Command,0.0,2015-09-21 21:30:02,70,e8b4ab26-77df-11e2-83c4-00163e005319
28,5600e86d68ee5723701ef3e2,UCSD-Main-EBU3B-Flr-4-Rm-4132-Cooling Command,70.0,2015-09-21 22:30:02,0,e8b4ab26-77df-11e2-83c4-00163e005319
29,5600f5e668ee5723701ef3e4,UCSD-Main-EBU3B-Flr-4-Rm-4132-Cooling Command,0.0,2015-09-21 23:30:01,-1,e8b4ab26-77df-11e2-83c4-00163e005319
